,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Kinerja Pelayanan Kapal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,,1,2,,,,,3,4,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,
,,1,LUAR NEGERI,,,,,,,,,,,,,,,,,,,
,E110100000000,,1,Waiting Time (WT) for Pilot,,,,Jam,0.00,0.00,0.01,0.01,0.01,,,,,,,,0.01,
,E110200000000,,2,Waiting for Berth,,,,Jam,,,,,,,,,,,,,,
,E110300000000,,3,Postpone Time (PT),,,,Jam,,,,,,,,,,,,,,
,E110400000000,,4,Approach Time (AT),,,,Jam,0.75,0.77,0.75,0.79,0.69,,,,,,,,0.75,
,E110500000000,,5,Turn Round Time (TRT),,,,Jam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2,DALAM NEGERI,,,,,,,,,,,,,,,,,,,
,E120100000000,,1,Waiting Time (WT) for Pilot,,,,Jam,0.15,0.05,0.04,0.01,0.01,,,,,,,,0.05,
,E120200000000,,2,Waiting for Berth,,,,Jam,,,,,,,,,,,,,,
,E120300000000,,3,Postpone Time (PT),,,,Jam,,,,,,,,,,,,,,
,E120400000000,,4,Approach Time (AT),,,,Jam,0.50,0.53,0.48,0.49,0.53,,,,,,,,0.51,
,E120500000000,,5,Turn Round Time (TRT),,,,Jam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,3,KONSOLIDASI,,,,,,,,,,,,,,,,,,,
,E130100000000,,1,Waiting Time (WT) for Pilot,,,,Jam,0.07,0.03,0.03,0.01,0.00,,,,,,,,0.03,
,E130200000000,,2,Waiting for Berth,,,,Jam,,,,,,,,,,,,,,
,E130300000000,,3,Postpone Time (PT),,,,Jam,,,,,,,,,,,,,,
,E130400000000,,4,Approach Time (AT),,,,Jam,0.62,0.65,0.62,0.64,0.61,,,,,,,,0.63,
,E130500000000,,5,Turn Round Time (TRT),,,,Jam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,4,KINERJA PELAYANAN DI DUKS / TUKS,,,,,,,,,,,,,,,,,,,
,E140100000000,,1,Waiting Time (WT) for Pilot,,,,Jam,0.20,0.06,0.03,0.01,0.03,,,,,,,,0.07,
,E140200000000,,2,Waiting for Berth,,,,Jam,,,,,,,,,,,,,,
,E140300000000,,3,Postpone Time (PT),,,,Jam,,,,,,,,,,,,,,
,E140400000000,,4,Approach Time (AT),,,,Jam,0.73,0.71,0.70,0.69,0.68,,,,,,,,0.70,
,E140500000000,,5,Turn Round Time (TRT),,,,Jam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Kinerja Pelayanan Tambatan,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,,1,2,,,,,3,4,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,
,,1,LUAR NEGERI,,,,,,,,,,,,,,,,,,,
,,,1,Terminal Petikemas,,,,,,,,,,,,,,,,,,
,F110101000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F110102000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F110103000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
,F110104000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F110105000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F110106000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,2,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,F110201000000,,,1,Berthing Time (BT),,,Jam,133.64,98.23,158.92,88.43,92.25,,,,,,,,114.29,
,F110202000000,,,2,Berth Working Time (BWT),,,Jam,121.19,83.32,151.05,82.86,86.37,,,,,,,,104.96,
